Ano;Ninho;Altura;Altitude;Altura total;Espessura;Ambiente;Destino;Territorio;Local;Tipo;Femea;Macho;Casal;Idade_femea;Idade_macho;Expfemea;Expmacho;Esp
2009;17F;1.02;2.49;3,506;12.5;Samambaia;Predado;Dezinhos;Folha;ovo;163;149;17F;1;1.5;inexp;NA;12.5
2014;183F;0.77;2.57;3,341;NA;Manguezal;Sucesso;Salsicha;Folha;ovo;142;141;8F;6.5;6.5;super;super;NA
2021;189C;1.8;2.49;4,293;NA;Capim-serra;Sucesso;Asinha;Conti;ovo;328;387;67C;7.5;1.5;super;NA;NA
2021;192C;1.05;2.7;3,745;NA;Capim-serra;Sucesso;Asinha;Conti;ovo;328;387;67C;7.5;1.5;super;NA;NA
2014;197F;0.58;2.52;3,097;NA;Typha;Alagado;Brasileiros;Folha;ovo;205;Fi69;40F;4;6.5;NA;exp;NA
2014;198F;0.82;2.56;3,382;NA;Manguezal;Predado;Brasileiros;Folha;ovo;205;Fi69;40F;4;6.5;NA;exp;NA
2014;199F;0.79;2.55;3,344;NA;Typha;Sucesso;Salsicha;Folha;ovo;142;141;8F;6.5;6.5;super;super;NA
2009;20F;1.3;2.55;3,847;22.5;Samambaia;Sucesso;Salsicha;Folha;ovo;142;141;8F;1.5;1.5;NA;NA;22.5
2009;21C;1.28;2.51;3,792;17.5;Cebolama;Predado;Colorado;Conti;ovo;117;122;6C;2.5;2;NA;inexp;17.5
2009;21F;0.66;2.48;3,138;22.5;Manguezal;Alagado;Manguito;Folha;ovo;133;134;4F;1.5;1.5;NA;NA;22.5
2009;22F;1.1;2.12;3,218;20;Manguezal;Sucesso;Desrrabados;Folha;ovo;144;143;6F;1.5;1.5;NA;NA;20
2018;235F;1.01;2.45;3,458;NA;Manguezal;Predado;Desrrabados;Folha;ovo;324;Fi70;58F;4;7.7;exp;super;NA
2018;236F;1.18;2.39;3,569;NA;Manguezal;Tombado;Desrrabados;Folha;ovo;324;Fi70;58F;4;7.7;exp;super;NA
2009;23C;1.71;2.53;4,235;12.5;Capim-serra;Predado;Asinha;Conti;ovo;94;171;10C;3;1;NA;NA;12.5
2009;23F;0.93;2.55;3.48;25;Uvira;Sucesso;Hibisquito;Folha;ovo;156;155;12F;1;1.5;NA;NA;25
2009;25F;1.15;2.53;3.68;NA;Samambaia;Predado;Dezinhos;Folha;ovo;163;149;17F;1;1.5;inexp;NA;NA
2009;26F;0.97;2.43;3,398;NA;Cebolama;Predado;Manguito;Folha;ovo;133;134;4F;1.5;1.5;NA;NA;NA
2009;28C;1.41;2.53;3,935;NA;Capim-serra;Tombado;Asinha;Conti;ovo;94;171;10C;3;1;NA;NA;NA
2009;28F;1.45;2.24;3,687;NA;Manguezal;Predado;Desrrabados;Folha;ovo;144;143;6F;1.5;1.5;NA;NA;NA
2009;29C;0.38;2.65;3,033;20;Samambaia;Alagado;Amarelinha;Conti;cesto;96;95;3C;3;3;NA;NA;20
2009;29F;1.28;2.49;3,767;17.5;Manguezal;Sucesso;Ypsolone;Folha;ovo;146;145;7F;1.5;1.5;NA;NA;17.5
2009;30C;2.3;2.55;4,848;30;Samambaia;Predado;Barbantinho;Conti;ovo;170;119;11C;1;2;NA;inexp;30
2009;31C;0.81;2.62;3,426;12.5;Cebolama;Alagado;Amarelinha;Conti;ovo;96;95;3C;3;3;NA;NA;12.5
2009;34C;1.07;2.56;3,631;10;Cebolama;Tombado;Barbantinho;Conti;ovo;170;119;11C;1;2;NA;inexp;10
2009;35C;1.01;2.53;3,535;17.5;Capim-serra;Tombado;Asinha;Conti;ovo;94;171;10C;3;1;NA;NA;17.5
2010;39F;NA;2.47;NA;NA;Manguezal;Sucesso;Salsicha;Folha;ovo;142;141;8F;2.5;2.5;NA;NA;NA
2010;40C;0.67;1.99;2,661;25;Cebolama;Alagado;Barbantinho;Conti;ovo;109;110;12C;1.5;3;NA;NA;25
2010;40F;0.79;2.47;3,259;10;Manguezal;Alagado;Salsicha;Folha;ovo;142;141;8F;2.5;2.5;NA;NA;10
2010;44C;1.21;2.45;3,683;15;Cebolama;Alagado;Barbantinho;Conti;ovo;170;119;11C;1.5;3;NA;inexp;15
2010;47C;0.74;NA;NA;NA;Cebolama;Sucesso;Listrao;Conti;ovo;109;110;12C;1.5;3;NA;NA;NA
2009;4F;0.74;2.47;3,209;25;Manguezal;Alagado;Ypsolone;Folha;ovo;146;145;7F;1.5;1.5;NA;NA;25
2010;52C;0.88;2.58;3,459;NA;Cebolama;Alagado;Barbantinho;Conti;ovo;170;119;11C;1.5;3;NA;inexp;NA
2009;5F;0.84;2.57;3,405;20;Typha;Sucesso;Salsicha;Folha;ovo;142;141;8F;1.5;1.5;NA;NA;20
2011;71F;NA;NA;NA;NA;NA;Alagado;Desrrabados;Folha;ovo;164;143;21F;2.5;3.5;super;super;NA
2011;72F;0.95;NA;NA;NA;Manguezal;Sucesso;Desrrabados;Folha;ovo;164;143;21F;2.5;3.5;super;super;NA
2009;8F;1;2.53;3,532;30;Manguezal;Predado;Hibisquito;Folha;ovo;156;155;12F;1;1.5;NA;NA;30
2009;sn;NA;NA;NA;NA;NA;Alagado;Velho;Jundia;ovo;49;38A;19;4.5;13.5;NA;super;NA
2022;457;1.12;2.36;2,483;NA;Pirizal;Predado;David;Jundia;ovo;Fi79;374;109;10;2.5;super;NA;NA
2022;469;1.35;2.53;3,881;NA;Capim-serra;Predado;David;Jundia;ovo;Fi79;374;109;10;2.5;super;NA;NA
2022;461;1.74;2.55;4.28;NA;Samambaia;Predado;Maezinha;Jundia;ovo;373;414;108;2.5;0.5;NA;inexp;NA
2022;474;1.77;2.5;4.27;NA;Samambaia;Predado;Maezinha;Jundia;ovo;373;414;108;2.5;0.5;NA;inexp;NA
2022;460;1.39;2.52;3,906;NA;Capim-serra;Tombado;Capim-serra;Jundia;cesto;371;372;94;4.5;4.5;super;super;NA
2022;468;1.67;2.53;4,197;NA;Capim-serra;Predado;Capim-serra;Jundia;ovo;371;372;94;4.5;4.5;super;super;NA
2022;462;0.79;2.53;3,318;NA;Capim-serra;Alagado;Azulzinho;Jundia;ovo;357;Fi55;101;6.5;12;super;super;NA
2022;473;1.21;2.53;3,738;NA;Capim-serra;Predado;Azulzinho;Jundia;ovo;357;Fi55;101;6.5;12;super;super;NA
2022;204C;1.97;2.58;4,552;NA;Samambaia;Predado;Colorado;Conti;ovo;402;322;90C;2.5;6.5;NA;super;NA
2022;209C;1;2.55;3,553;NA;Uvira;Predado;Colorado;Conti;ovo;402;322;90C;2.5;6.5;NA;super;NA
2022;286F;0.71;2.5;3,205;NA;Typha;Predado;Jamaicano;Folha;ovo;323;403;72F;9;4;super;NA;NA
2022;290F;1.38;2.47;3,852;NA;Manguezal;Sucesso;Jamaicano;Folha;ovo;323;403;72F;9;4;super;NA;NA
2022;291F;0.77;2.55;3,324;NA;Manguezal;Predado;Ypsolone;Folha;ovo;407;Fi69;86F;3.5;11.5;NA;super;NA
2022;293F;1.06;2.61;3,666;NA;Samambaia;Predado;Ypsolone;Folha;ovo;407;Fi69;86F;3.5;11.5;NA;super;NA
